City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Zaraza,VE,75.33,clear sky,9.3503,-65.3245,Hotel Zaraza
6,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,People ThankYou
10,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
15,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
18,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
25,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Manaus,BR,75.69,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
32,Sola,VU,82.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
39,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
44,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
47,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
48,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
53,Mildura,AU,84.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
56,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
58,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,Sao Jose Da Coroa Grande,BR,78.55,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
64,Bontang,ID,82.62,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
66,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
71,Esperance,AU,82.24,clear sky,-33.8667,121.9,Hospitality Esperance
