City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Zaraza,VE,9.3503,-65.3245,75.33,77,4,9.71,clear sky,2022-02-05 01:39:04
1,Benguela,AO,-12.5763,13.4055,73.94,73,100,4.94,overcast clouds,2022-02-05 01:36:40
2,Tasiilaq,GL,65.6145,-37.6368,24.96,69,100,42.73,overcast clouds,2022-02-05 01:34:37
3,Qaanaaq,GL,77.484,-69.3632,1.17,70,100,6.51,overcast clouds,2022-02-05 01:34:47
4,Bethel,US,41.3712,-73.414,31.5,84,100,8.05,overcast clouds,2022-02-05 01:39:05
5,Dryden,CA,49.7833,-92.7503,-3.71,71,0,5.75,clear sky,2022-02-05 01:39:05
6,Rikitea,PF,-23.1203,-134.9692,79.05,68,4,7.18,clear sky,2022-02-05 01:39:06
7,Bogorodskoye,RU,56.55,37.8833,0.41,100,99,1.66,overcast clouds,2022-02-05 01:39:06
8,Cape Town,ZA,-33.9258,18.4232,65.88,67,0,5.01,clear sky,2022-02-05 01:37:51
9,Hermanus,ZA,-34.4187,19.2345,63.81,70,1,18.03,clear sky,2022-02-05 01:39:07
10,Atuona,PF,-9.8,-139.0333,78.37,77,25,15.9,scattered clouds,2022-02-05 01:39:07
11,Masuguru,TZ,-11.3667,38.4167,72.09,95,100,4.79,light rain,2022-02-05 01:39:08
12,Cordoba,AR,-31.4135,-64.1811,64.6,74,0,8.05,clear sky,2022-02-05 01:38:26
13,Saint George,US,37.1041,-113.5841,48.79,21,0,8.05,clear sky,2022-02-05 01:38:20
14,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,75,4.61,broken clouds,2022-02-05 01:38:26
15,Vaini,TO,-21.2,-175.2,78.96,94,100,17.27,overcast clouds,2022-02-05 01:37:47
16,Ostrovnoy,RU,68.0531,39.5131,12.63,86,100,21.36,overcast clouds,2022-02-05 01:39:09
17,Dikson,RU,73.5069,80.5464,-1.34,93,100,5.73,overcast clouds,2022-02-05 01:35:32
18,Kapaa,US,22.0752,-159.319,79.12,79,40,1.01,light rain,2022-02-05 01:39:09
19,Hilo,US,19.7297,-155.09,78.53,79,100,9.22,overcast clouds,2022-02-05 01:37:07
20,Plavinas,LV,56.6178,25.7255,28.78,96,100,10.89,snow,2022-02-05 01:39:10
21,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,2.3,clear sky,2022-02-05 01:36:04
22,Norman Wells,CA,65.282,-126.8329,-7.56,64,75,21.85,broken clouds,2022-02-05 01:39:02
23,Tuatapere,NZ,-46.1333,167.6833,59.83,52,30,7.78,scattered clouds,2022-02-05 01:39:10
24,Olinda,BR,-8.0089,-34.8553,82.13,65,40,6.91,scattered clouds,2022-02-05 01:39:11
25,Saint-Philippe,RE,-21.3585,55.7679,81.99,89,100,25.64,moderate rain,2022-02-05 01:39:11
26,Port Alfred,ZA,-33.5906,26.891,68.86,81,94,8.63,light rain,2022-02-05 01:38:02
27,Ushuaia,AR,-54.8,-68.3,49.66,66,0,12.66,clear sky,2022-02-05 01:34:35
28,Busselton,AU,-33.65,115.3333,85.95,30,14,6.62,few clouds,2022-02-05 01:36:37
29,Avera,US,33.194,-82.5271,53.47,83,100,14.25,overcast clouds,2022-02-05 01:37:06
30,Polovinnoye,RU,54.7914,65.9864,20.68,81,100,10.49,overcast clouds,2022-02-05 01:39:12
31,Manaus,BR,-3.1019,-60.025,75.69,100,75,1.14,light rain,2022-02-05 01:39:12
32,Sola,VU,-13.8833,167.55,82.51,77,100,21.65,overcast clouds,2022-02-05 01:39:13
33,Mataura,NZ,-46.1927,168.8643,59.49,37,10,3.56,clear sky,2022-02-05 01:39:13
34,Albany,US,42.6001,-73.9662,17.64,85,100,1.01,overcast clouds,2022-02-05 01:34:49
35,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,80,0,7.0,clear sky,2022-02-05 01:39:14
36,Malaya Vishera,RU,58.8454,32.2222,8.74,94,90,9.31,overcast clouds,2022-02-05 01:39:14
37,Carnarvon,AU,-24.8667,113.6333,100.47,13,11,14.97,few clouds,2022-02-05 01:35:31
38,Sovetskiy,RU,61.3614,63.5842,5.52,96,100,1.1,overcast clouds,2022-02-05 01:39:15
39,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.01,few clouds,2022-02-05 01:35:25
40,Sioux Lookout,CA,50.1001,-91.917,-3.62,83,0,2.3,clear sky,2022-02-05 01:39:15
41,Fort Walton Beach,US,30.4058,-86.6188,43.14,92,100,7.0,overcast clouds,2022-02-05 01:37:15
42,Half Moon Bay,US,37.4636,-122.4286,61.29,59,0,6.91,haze,2022-02-05 01:39:16
43,Lagoa,PT,39.05,-27.9833,57.78,83,74,19.6,broken clouds,2022-02-05 01:35:57
44,Cap Malheureux,MU,-19.9842,57.6142,79.47,82,99,10.0,overcast clouds,2022-02-05 01:36:42
45,Bolbec,FR,49.5732,0.4734,41.81,85,83,7.83,broken clouds,2022-02-05 01:40:16
46,Yellowknife,CA,62.456,-114.3525,-26.72,80,75,6.91,broken clouds,2022-02-05 01:40:17
47,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0.0,clear sky,2022-02-05 01:40:17
48,Mahebourg,MU,-20.4081,57.7,79.25,94,75,14.97,broken clouds,2022-02-05 01:40:18
49,Mosquera,CO,4.7059,-74.2302,55.49,82,40,4.61,scattered clouds,2022-02-05 01:35:47
50,Isangel,VU,-19.55,169.2667,77.11,88,100,6.91,overcast clouds,2022-02-05 01:37:47
51,Marsa Matruh,EG,31.3525,27.2453,53.8,71,40,10.36,scattered clouds,2022-02-05 01:40:19
52,Hobart,AU,-42.8794,147.3294,67.23,78,75,8.05,broken clouds,2022-02-05 01:40:19
53,Mildura,AU,-34.2,142.15,84.07,29,100,12.66,overcast clouds,2022-02-05 01:40:20
54,Silopi,TR,37.2497,42.4694,43.32,90,91,1.28,overcast clouds,2022-02-05 01:40:20
55,Kodiak,US,57.79,-152.4072,38.71,81,100,3.44,overcast clouds,2022-02-05 01:40:20
56,Touros,BR,-5.1989,-35.4608,81.5,73,4,13.2,clear sky,2022-02-05 01:40:21
57,Mar Del Plata,AR,-38.0023,-57.5575,69.1,81,100,1.99,moderate rain,2022-02-05 01:39:11
58,Souillac,MU,-20.5167,57.5167,79.36,94,75,14.97,light rain,2022-02-05 01:40:21
59,Fairbanks,US,64.8378,-147.7164,8.1,64,100,3.44,light shower snow,2022-02-05 01:36:00
60,Asfi,MA,32.2994,-9.2372,62.15,56,76,13.31,broken clouds,2022-02-05 01:40:22
61,Airai,TL,-8.9266,125.4092,71.62,69,100,2.1,overcast clouds,2022-02-05 01:40:22
62,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.55,76,5,7.65,clear sky,2022-02-05 01:40:22
63,Faya,SA,18.3851,42.4509,54.12,91,22,6.02,few clouds,2022-02-05 01:40:23
64,Bontang,ID,0.1333,117.5,82.62,68,100,4.38,overcast clouds,2022-02-05 01:40:23
65,Vianden,LU,49.935,6.2089,36.55,77,91,10.0,overcast clouds,2022-02-05 01:40:24
66,Kahului,US,20.8947,-156.47,83.46,69,40,17.27,scattered clouds,2022-02-05 01:39:24
67,Chuy,UY,-33.6971,-53.4616,69.04,94,0,4.76,clear sky,2022-02-05 01:39:15
68,Rosignano Marittimo,IT,43.4079,10.4729,53.47,84,88,0.87,overcast clouds,2022-02-05 01:40:24
69,Naze,JP,28.3667,129.4833,54.52,66,97,16.15,overcast clouds,2022-02-05 01:40:25
70,Beringovskiy,RU,63.05,179.3167,-7.24,86,54,12.19,broken clouds,2022-02-05 01:38:21
71,Esperance,AU,-33.8667,121.9,82.24,47,3,9.15,clear sky,2022-02-05 01:40:25
72,Weston,US,26.1004,-80.3998,75.22,84,0,3.0,clear sky,2022-02-05 01:39:23
73,Mount Gambier,AU,-37.8333,140.7667,73.31,46,40,12.66,scattered clouds,2022-02-05 01:40:26
74,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,86,100,21.81,overcast clouds,2022-02-05 01:40:26
75,Bengkulu,ID,-3.8004,102.2655,74.84,90,100,3.42,overcast clouds,2022-02-05 01:35:55
76,Khatanga,RU,71.9667,102.5,-35.9,100,87,2.66,overcast clouds,2022-02-05 01:40:27
77,Nokaneng,BW,-19.6667,22.2667,68.29,84,78,4.05,light rain,2022-02-05 01:40:27
78,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,1.01,mist,2022-02-05 01:39:02
79,Laagri,EE,59.3508,24.6142,31.66,93,100,16.11,overcast clouds,2022-02-05 01:40:28
80,Nangomba,TZ,-10.9,38.5,71.46,93,100,6.62,overcast clouds,2022-02-05 01:40:28
81,Umarkot,PK,25.3616,69.7362,59.47,72,0,7.54,clear sky,2022-02-05 01:40:29
82,Khorixas,NA,-20.3667,14.9667,69.64,54,100,9.17,overcast clouds,2022-02-05 01:40:29
83,Tezu,IN,27.9167,96.1667,55.74,97,100,1.92,overcast clouds,2022-02-05 01:36:52
84,Banda Aceh,ID,5.5577,95.3222,81.52,73,73,8.81,broken clouds,2022-02-05 01:40:30
85,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,3.44,clear sky,2022-02-05 01:38:42
86,Cherskiy,RU,68.75,161.3,-29.61,96,10,4.25,clear sky,2022-02-05 01:38:18
87,Guerrero Negro,MX,27.9769,-114.0611,61.3,33,0,3.71,clear sky,2022-02-05 01:40:30
88,Chimbote,PE,-9.0853,-78.5783,69.66,86,11,7.45,few clouds,2022-02-05 01:40:31
89,Leh,IN,34.1667,77.5833,-8.27,88,100,4.18,overcast clouds,2022-02-05 01:41:31
90,Rawson,AR,-43.3002,-65.1023,59.59,57,86,19.06,overcast clouds,2022-02-05 01:37:59
91,Nantucket,US,41.2835,-70.0995,37.51,93,100,17.27,light snow,2022-02-05 01:41:32
92,Portales,US,34.1862,-103.3344,32.99,74,0,4.27,clear sky,2022-02-05 01:41:32
93,Olafsvik,IS,64.8945,-23.7142,27.25,67,100,22.17,overcast clouds,2022-02-05 01:37:57
94,Altayskoye,RU,51.9533,85.3325,4.48,81,6,6.33,clear sky,2022-02-05 01:41:33
95,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,16.11,few clouds,2022-02-05 01:41:33
